"trace_id","activities","owner","income","g"
"12","activity_01","yes","low","activity_04__+__activity_03__+__activity_01"
"12","activity_03","yes","low","activity_04__+__activity_03__+__activity_01"
"13","activity_04","no","low","activity_04__+__activity_03__+__activity_01"
"13","activity_03","no","low","activity_04__+__activity_03__+__activity_01"
"13","activity_01","no","low","activity_04__+__activity_03__+__activity_01"
"14","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"14","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"14","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"14","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"15","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"15","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"15","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"15","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"15","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"16","activity_04","yes","low","activity_04__+__activity_03__+__activity_01"
"16","activity_03","yes","low","activity_04__+__activity_03__+__activity_01"
"16","activity_01","yes","low","activity_04__+__activity_03__+__activity_01"
"17","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"17","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"17","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"17","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"17","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"18","activity_02","yes","low","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"18","activity_03","yes","low","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"18","activity_01","yes","low","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"18","activity_01","yes","low","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"18","activity_01","yes","low","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"19","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"19","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"19","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"19","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"19","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"20","activity_04","no","low","activity_04__+__activity_03__+__activity_01"
"20","activity_03","no","low","activity_04__+__activity_03__+__activity_01"
"20","activity_01","no","low","activity_04__+__activity_03__+__activity_01"
"21","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"21","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"21","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"21","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"21","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"22","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"22","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"22","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"22","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"22","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"23","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"23","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"23","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"23","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"23","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"24","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"24","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"24","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"24","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"24","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"25","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"25","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"25","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"25","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"25","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"26","activity_01","yes","middle","activity_01__+__activity_01__+__activity_02"
"26","activity_01","yes","middle","activity_01__+__activity_01__+__activity_02"
"26","activity_02","yes","middle","activity_01__+__activity_01__+__activity_02"
"27","activity_02","no","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"27","activity_01","no","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"27","activity_03","no","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"27","activity_02","no","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"27","activity_01","no","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"27","activity_01","no","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"28","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"28","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"28","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"28","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"28","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"29","activity_04","no","low","activity_04__+__activity_03__+__activity_01"
"29","activity_03","no","low","activity_04__+__activity_03__+__activity_01"
"29","activity_01","no","low","activity_04__+__activity_03__+__activity_01"
"30","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"30","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"30","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"30","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"30","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"31","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"31","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"31","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"31","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"31","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"32","activity_02","yes","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"32","activity_03","yes","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"32","activity_01","yes","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"32","activity_01","yes","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"32","activity_01","yes","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"33","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"33","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"33","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"33","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"33","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"34","noise_1","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"34","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"34","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"34","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"34","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"35","activity_02","yes","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"35","activity_03","yes","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"35","activity_01","yes","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"35","activity_01","yes","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"35","activity_01","yes","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"36","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"36","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"36","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"36","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"36","noise_0","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"36","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"36","noise_3","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"37","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"37","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"37","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"37","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"37","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"38","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"38","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"38","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"38","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"38","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"39","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"39","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"39","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"40","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"40","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"40","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"40","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"40","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"41","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"41","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"41","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"41","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"41","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"42","activity_04","no","low","activity_04__+__activity_03__+__activity_01"
"42","activity_03","no","low","activity_04__+__activity_03__+__activity_01"
"42","activity_01","no","low","activity_04__+__activity_03__+__activity_01"
"43","activity_04","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"43","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"43","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"43","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"43","noise_0","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"44","activity_01","yes","middle","activity_01__+__activity_01__+__activity_02"
"44","activity_01","yes","middle","activity_01__+__activity_01__+__activity_02"
"44","activity_02","yes","middle","activity_01__+__activity_01__+__activity_02"
"45","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"45","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"45","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"45","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"45","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"46","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"46","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"46","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"46","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"46","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"47","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"47","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"47","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"47","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"47","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"48","activity_01","yes","low","activity_01__+__activity_01__+__activity_02"
"48","noise_4","yes","low","activity_01__+__activity_01__+__activity_02"
"48","activity_02","yes","low","activity_01__+__activity_01__+__activity_02"
"49","activity_04","no","low","activity_04__+__activity_03__+__activity_01"
"49","activity_03","no","low","activity_04__+__activity_03__+__activity_01"
"49","activity_01","no","low","activity_04__+__activity_03__+__activity_01"
"50","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"50","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"50","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"50","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"50","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"51","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"51","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"51","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"51","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"51","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"52","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"52","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"52","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"52","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"52","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"53","activity_02","no","low","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"53","activity_03","no","low","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"53","activity_01","no","low","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"53","activity_01","no","low","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"53","activity_01","no","low","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"54","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"54","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"54","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"54","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"54","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"55","activity_01","no","middle","activity_01__+__activity_01__+__activity_02"
"55","activity_01","no","middle","activity_01__+__activity_01__+__activity_02"
"55","activity_02","no","middle","activity_01__+__activity_01__+__activity_02"
"56","noise_4","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"56","activity_04","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"56","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"56","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"56","noise_1","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"56","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"56","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"57","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"57","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"57","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"57","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"57","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"58","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"58","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"58","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"58","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"58","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"59","activity_02","yes","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"59","activity_03","yes","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"59","activity_01","yes","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"59","activity_01","yes","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"59","activity_01","yes","middle","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"60","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"60","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"60","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"60","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"60","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"61","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"61","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"61","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"61","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"61","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"62","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"62","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"62","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"62","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"62","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"63","activity_01","yes","middle","activity_01__+__activity_01__+__activity_02"
"63","activity_01","yes","middle","activity_01__+__activity_01__+__activity_02"
"63","activity_02","yes","middle","activity_01__+__activity_01__+__activity_02"
"64","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"64","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"64","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"64","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"64","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"65","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"65","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"65","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"65","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"65","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"66","activity_01","no","middle","activity_01__+__activity_01__+__activity_02"
"66","activity_01","no","middle","activity_01__+__activity_01__+__activity_02"
"66","activity_02","no","middle","activity_01__+__activity_01__+__activity_02"
"67","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"67","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"67","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"67","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"67","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"68","activity_02","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"68","activity_03","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"68","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"68","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"68","activity_01","no","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"69","activity_02","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"69","activity_03","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
"69","activity_01","yes","high","activity_02__+__activity_03__+__activity_01__+__activity_01__+__activity_01"
